IA1	IB1	averageP	sdP	overlap	direction
a billionaire	a celebrity	0.536	0.049439992	0.928	1
a billionaire	a university student	0.410381818	0.047623939	0.820763636	-1
a billionaire	a Member of Parliament	0.576893204	0.048914104	0.846213592	1
a billionaire	a convict	0.735190083	0.041215653	0.529619835	1
a billionaire	a hooligan	0.777558559	0.039199493	0.444882883	1
a billionaire	a homeless adult	0.494091667	0.045396398	0.988183333	-1
a billionaire	a judge	0.486803571	0.046513191	0.973607143	-1
a billionaire	a mentor	0.4162	0.045769154	0.8324	-1
a billionaire	a nun	0.501443478	0.046949754	0.997113043	1
a billionaire	a pedophile	0.911060345	0.026754909	0.17787931	1
a billionaire	a police officer	0.420041322	0.044176586	0.840082645	-1
a billionaire	a rapist	0.891907563	0.028635424	0.216184874	1
a billionaire	a soldier	0.333123894	0.044163154	0.666247788	-1
a billionaire	a terrorist	0.894315315	0.028663322	0.211369369	1
a billionaire	a thief	0.801189189	0.038793088	0.397621622	1
a billionaire	an addict	0.665	0.045195051	0.67	1
a billionaire	an adult	0.422738739	0.047277786	0.845477477	-1
a billionaire	an adult with a deadly contagious disease	0.655377049	0.042437228	0.689245902	1
a billionaire	an assassin	0.829521368	0.036699945	0.340957265	1
a billionaire	an astronaut	0.456103448	0.045978254	0.912206897	-1
a billionaire	an elderly person	0.365798165	0.045269409	0.73159633	-1
a billionaire	an Olympian	0.481886792	0.048698115	0.963773585	-1
a billionaire	an orphan	0.362955357	0.045849382	0.725910714	-1
a billionaire	a cockroach	0.918881818	0.026337706	0.162236364	1
a billionaire	a life-saving antidote	0.30193913	0.042975085	0.603878261	-1
a billionaire	a rabid possum	0.911827586	0.026528042	0.176344828	1
a billionaire	a smartphone	0.737265487	0.041218398	0.525469027	1
a celebrity	a university student	0.345309091	0.04392244	0.690618182	-1
a celebrity	a Member of Parliament	0.520631068	0.050282638	0.958737864	1
a celebrity	a convict	0.697247934	0.041301884	0.605504132	1
a celebrity	a hooligan	0.744261261	0.039856902	0.511477477	1
a celebrity	a homeless adult	0.436633333	0.045219088	0.873266667	-1
a celebrity	a judge	0.419758929	0.047716839	0.839517857	-1
a celebrity	a mentor	0.35273913	0.043045041	0.705478261	-1
a celebrity	a nun	0.44053913	0.04543181	0.881078261	-1
a celebrity	a pedophile	0.891396552	0.028483929	0.217206897	1
a celebrity	a police officer	0.358876033	0.041555957	0.717752066	-1
a celebrity	a rapist	0.874705882	0.029577311	0.250588235	1
