overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdP	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	overlapRoundSN	res.RT	fit.RT
0.05	an adult	a pedophile	35	UKtrst	1	1	1	simplified	impersonal	k	Yes	7.16239749735572	N/A	-1	0.034344262	0.015825463	0.068688525	1	1	TRUE	0.931311475	1	0.05	0.0576868892904008	7.10471060806532
0.05	a mentor	a pedophile	35	UKtrst	1	3	1	simplified	impersonal	k	Yes	6.88243747099785	N/A	-1	0.961666667	0.017395087	0.076666667	1	1	TRUE	0.923333333	1	0.05	-0.368917620593082	7.25135509159093
0.05	a rapist	an astronaut	35	UKtrst	1	9	1	simplified	impersonal	d	No	7.57301725605255	N/A	-1	0.047638462	0.018454336	0.095276923	-1	1	FALSE	-0.904723077	1	0.05	0.236631850203244	7.3363854058493
0.05	a pedophile	a mentor	35	UKtrst	1	25	1	simplified	impersonal	d	No	7.08506429395255	N/A	-1	0.961666667	0.017395087	0.076666667	-1	1	FALSE	-0.923333333	1	0.05	-0.256266299797298	7.34133059374985
0.05	a terrorist	a mentor	35	UKtrst	1	46	1	simplified	impersonal	d	No	7.25134498337221	N/A	-1	0.952975207	0.01892028	0.094049587	-1	1	FALSE	-0.905950413	1	0.05	-0.0899877730481702	7.34133275642038
0.05	a terrorist	an adult	35	UKtrst	1	97	1	simplified	impersonal	k	Yes	6.90975328164481	N/A	-1	0.040923077	0.018282672	0.081846154	-1	0	FALSE	-0.918153846	0	0.05	-0.431579474859877	7.34133275650469
0.05	a pedophile	an elderly person	35	UKtrst	1	94	1	simplified	impersonal	d	No	6.87832646829133	N/A	-1	0.032842975	0.01664706	0.06568595	-1	1	FALSE	-0.93431405	1	0.05	-0.463006288213362	7.34133275650469
0.15	a thief	a soldier	35	UKtrst	1	12	1	simplified	impersonal	d	No	7.32251043399739	N/A	-1	0.906613445	0.025824002	0.186773109	-1	1	FALSE	-0.813226891	1	0.15	-0.0176622325142795	7.34017266651167
0.15	an assassin	an astronaut	35	UKtrst	1	63	1	simplified	impersonal	d	No	6.99301512293296	N/A	-1	0.089882813	0.025109994	0.179765625	-1	1	FALSE	-0.820234375	1	0.15	-0.348317633571703	7.34133275650466
0.25	an addict	a rapist	35	UKtrst	1	41	1	simplified	impersonal	k	Yes	7.14834574390007	N/A	-1	0.141479675	0.031335374	0.28295935	1	1	TRUE	0.71704065	1	0.25	-0.192987011659162	7.34133275555923
0.25	a hooligan	an olympian	35	UKtrst	1	16	1	simplified	impersonal	d	No	6.96129604591017	N/A	-1	0.146115044	0.033726456	0.292230088	-1	1	FALSE	-0.707769912	1	0.25	-0.379868965306172	7.34116501121634
0.25	a rapist	an addict	35	UKtrst	1	32	1	simplified	impersonal	d	No	7.82763954636642	N/A	-1	0.141479675	0.031335374	0.28295935	-1	1	FALSE	-0.71704065	1	0.25	0.486306863192283	7.34133268317414
0.25	an elderly person	a convict	35	UKtrst	1	86	1	simplified	impersonal	k	Yes	7.19443685110033	N/A	-1	0.139190476	0.031039612	0.278380952	1	1	TRUE	0.721619048	1	0.25	-0.146895905404352	7.34133275650469
0.25	a hooligan	a mentor	35	UKtrst	1	84	1	simplified	impersonal	d	No	7.1731917424866	N/A	-1	0.121487603	0.02848289	0.242975207	-1	1	FALSE	-0.757024793	1	0.25	-0.168141014018088	7.34133275650469
0.25	an adult	an assassin	35	UKtrst	1	82	1	simplified	impersonal	k	Yes	7.00397413672268	N/A	-1	0.891219512	0.028783398	0.217560976	1	1	TRUE	0.782439024	1	0.25	-0.337358619782007	7.34133275650469
0.25	a mentor	a thief	35	UKtrst	1	93	1	simplified	impersonal	k	Yes	6.93925394604151	N/A	-1	0.874157025	0.02898668	0.25168595	1	1	TRUE	0.74831405	1	0.25	-0.402078810463179	7.34133275650469
0.25	a university student	a thief	35	UKtrst	1	79	1	simplified	impersonal	k	Yes	6.97447891102505	N/A	-1	0.87442735	0.03118012	0.251145299	1	1	TRUE	0.748854701	1	0.25	-0.366853845479642	7.34133275650469
0.25	a university student	a hooligan	35	UKtrst	1	18	1	simplified	impersonal	k	Yes	7.12286665859908	N/A	-1	0.858273504	0.031504583	0.283452991	1	1	TRUE	0.716547009	1	0.25	-0.21840231127597	7.34126896987505
0.25	a member of parliament	a rapist	35	UKtrst	1	19	1	simplified	impersonal	k	Yes	7.09090982207998	N/A	-1	0.855307692	0.031337817	0.289384615	1	1	TRUE	0.710615385	1	0.25	-0.250383600315613	7.3412934223956
0.25	a judge	an assassin	35	UKtrst	1	37	1	simplified	impersonal	k	Yes	7.57916796739608	N/A	-1	0.861274194	0.031699444	0.277451613	1	1	TRUE	0.722548387	1	0.25	0.237835217429966	7.34133274996611
0.25	a convict	a soldier	35	UKtrst	1	57	1	simplified	impersonal	d	No	7.26262860097424	N/A	-1	0.124821705	0.029687253	0.249643411	-1	1	FALSE	-0.750356589	1	0.25	-0.0787041555300325	7.34133275650427
0.35	a terrorist	a member of parliament	35	UKtrst	1	28	1	simplified	impersonal	d	No	7.53422832627409	N/A	-1	0.844918182	0.034703099	0.310163636	-1	1	FALSE	-0.689836364	1	0.35	0.192896076907551	7.34133224936654
0.35	a nun	a hooligan	35	UKtrst	1	54	1	simplified	impersonal	k	Yes	7.11314210870709	N/A	-1	0.159852459	0.032052521	0.319704918	1	1	TRUE	0.680295082	1	0.35	-0.228190647795836	7.34133275650292
0.35	a billionaire	a thief	35	UKtrst	1	69	1	simplified	impersonal	k	Yes	7.11558212618445	N/A	-1	0.801189189	0.038793088	0.397621622	1	1	TRUE	0.602378378	1	0.35	-0.225750630320232	7.34133275650469
0.35	an addict	an orphan	35	UKtrst	1	66	1	simplified	impersonal	d	No	7.17548971362422	N/A	-1	0.167077586	0.034000282	0.334155172	-1	1	FALSE	-0.665844828	1	0.35	-0.16584304288046	7.34133275650468
