exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Is_are1	Verb1	Item2	Is_are2	Verb2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
expTerroristUK	10	UKtrst	1	0	0	680	0	k	W	250	0	simplified	impersonal	an assassin	are	kill	an orphan	are	kill	X>Y	k	No	8290	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	1	0	680	0	k	W	250	0	simplified	impersonal	a thief	are	kill	an astronaut	are	kill	X>Y	k	No	5993	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	2	0	680	0	k	W	250	0	simplified	impersonal	a judge	are	kill	a convict	are	kill	X>Y	d	Yes	4519	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	3	0	680	0	k	W	250	0	simplified	impersonal	an orphan	are	kill	a celebrity	are	kill	X>Y	k	No	5869	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	4	0	680	0	k	W	250	0	simplified	impersonal	a celebrity	are	kill	an orphan	are	kill	X>Y	d	Yes	5444	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	5	0	680	0	k	W	250	0	simplified	impersonal	an astronaut	are	kill	an orphan	are	kill	X>Y	d	Yes	2852	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	6	0	680	0	k	W	250	0	simplified	impersonal	an assassin	are	kill	an elderly person	are	kill	X>Y	k	No	2657	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	7	0	680	0	k	W	250	0	simplified	impersonal	a hooligan	are	kill	a mentor	are	kill	X>Y	k	No	1775	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	8	0	680	0	k	W	250	0	simplified	impersonal	an Olympian	are	kill	a university student	are	kill	X>Y	k	No	4283	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	9	0	680	0	k	W	250	0	simplified	impersonal	an Olympian	are	kill	an astronaut	are	kill	X>Y	k	No	1896	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	0	1	680	0	k	W	150	0	simplified	impersonal	a nun	are	kill	a pedophile	are	kill	X>Y	d	Yes	2126	0	0	0	0	N/A	-1	visible
expTerroristUK	10	UKtrst	1	1	1	680	0	k	W	150	0	simplified	impersonal	a thief	are	kill	a celebrity	are	kill	X>Y	k	No	1831	0	0	0	0	N/A	-1	visible
