overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdP	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	overlapRoundSN	res.RT	fit.RT
0.05	a pedophile	47 olympians	11	UKQuant	1	61	1	simplified	impersonal	d	No	8.93089098445088	N/A	-1	0.952	0.0187282462934456	0.0959999999999999	-1	1	FALSE	-0.904	1	0.05	0.594051343265242	8.33683964118564
0.05	a pedophile	an orphan	11	UKQuant	1	92	1	simplified	impersonal	d	No	7.92008319905323	N/A	-1	0.0280813008130081	0.0154203479030839	0.0561626016260163	-1	1	FALSE	-0.943837398373984	1	0.05	-0.243108944754244	8.16319214380748
0.05	9 rapists	6 elderly people	11	UKQuant	1	3	1	simplified	impersonal	d	No	8.48322267184508	N/A	-1	0.959737704918033	0.0178850449587835	0.0805245901639344	-1	1	FALSE	-0.919475409836066	1	0.05	-0.30470348130144	8.78792615314652
0.05	an elderly person	9 rapists	11	UKQuant	1	2	1	simplified	impersonal	k	Yes	8.80146947073318	N/A	-1	0.0419304347826087	0.0185257290147453	0.0838608695652174	1	1	TRUE	0.916139130434783	1	0.05	0.00398018952329338	8.79748928120989
0.15	9 rapists	a nun	11	UKQuant	1	28	1	simplified	impersonal	d	No	8.44160720445964	N/A	-1	0.0643305785123967	0.0215100298068296	0.128661157024793	-1	1	FALSE	-0.871338842975207	1	0.15	-0.128464960898679	8.57007216535832
0.15	47 pedophiles	5 celebrities	11	UKQuant	1	63	1	simplified	impersonal	d	No	8.16365617616843	N/A	-1	0.099424	0.0257609753668578	0.198848	-1	1	FALSE	-0.801152	1	0.15	-0.160763470675336	8.32441964684377
0.15	an astronaut	53 rapists	11	UKQuant	1	118	1	simplified	impersonal	k	Yes	7.91971976092457	N/A	-1	0.0923083333333333	0.0257641946173335	0.184616666666667	1	1	TRUE	0.815383333333333	1	0.15	-0.125115800477713	8.04483556140229
0.15	a terrorist	a judge	11	UKQuant	1	44	1	simplified	impersonal	d	No	8.29554851622576	N/A	-1	0.929966386554622	0.0231360028785127	0.140067226890756	-1	1	FALSE	-0.859932773109244	1	0.15	-0.154466163579114	8.45001467980488
0.15	a rapist	8 billionaires	11	UKQuant	1	73	1	simplified	impersonal	d	No	8.29429960885724	N/A	-1	0.902706766917293	0.0253995287875023	0.194586466165414	-1	1	FALSE	-0.805413533834586	1	0.15	0.029346705541041	8.26495290331619
0.15	6 elderly people	3 pedophiles	11	UKQuant	1	96	1	simplified	impersonal	k	Yes	7.9251575122247	N/A	-1	0.0573089430894309	0.0202874866735182	0.114617886178862	1	1	TRUE	0.885382113821138	1	0.15	-0.218341429131155	8.14349894135586
