exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Is_are1	Verb1	Item2	Is_are2	Verb2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	presentationMode	hide_question
expQuantUK	10	UKQuant	1	0	0	680	0	k	W	250	0	simplified	impersonal	53 judges	are	kill	6 thieves	are	kill	X>Y	d	Yes	11361	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	1	0	680	0	k	W	250	0	simplified	impersonal	49 mentors	are	kill	53 rapists	are	kill	X>Y	d	Yes	6522	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	2	0	680	0	k	W	250	0	simplified	impersonal	a Member of Parliament	is	kill	a rapist	is	kill	X>Y	d	Yes	2956	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	3	0	680	0	k	W	250	0	simplified	impersonal	a university student	is	kill	a Member of Parliament	is	kill	X>Y	d	Yes	5118	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	4	0	680	0	k	W	250	0	simplified	impersonal	4 homeless adults	are	kill	a soldier	is	kill	X>Y	k	No	6086	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	5	0	680	0	k	W	250	0	simplified	impersonal	4 nuns	are	kill	an addict	is	kill	X>Y	d	Yes	2905	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	6	0	680	0	k	W	250	0	simplified	impersonal	9 rapists	are	kill	6 police officers	are	kill	X>Y	k	No	3022	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	7	0	680	0	k	W	250	0	simplified	impersonal	4 Members of Parliament	are	kill	a celebrity	is	kill	X>Y	d	Yes	2635	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	8	0	680	0	k	W	250	0	simplified	impersonal	a convict	is	kill	a soldier	is	kill	X>Y	d	Yes	7779	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	9	0	680	0	k	W	250	0	simplified	impersonal	53 adults	are	kill	an elderly person	is	kill	X>Y	d	Yes	4713	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	0	1	680	0	k	W	150	0	simplified	impersonal	an astronaut	is	kill	48 homeless adults	are	kill	X>Y	k	No	3018	0	0	0	0	N/A	-1	visible	NA
expQuantUK	10	UKQuant	1	1	1	680	0	k	W	150	0	simplified	impersonal	4 Members of Parliament	are	kill	6 addicts	are	kill	X>Y	d	Yes	2287	0	0	0	0	N/A	-1	visible	NA
