overlapRound	IA.1.org	IB.1.org	Exp_Name	sn	Gender	Birth	cond	Trial	BlockNum	BlockIt	TrialinBlock	respType	posttgap	keybResp	keybRT	keyDef	Set	IA.1	IB.1	nIA	nIB	ones	trial	trial_type	averageP	sdP	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	overlapRoundSN	res.RT	fit.RT
0.05	47 pedophiles	4 soldiers	cMorals	dtty169	Female	23	cMorals1	116	1	1	116	key	500	d	7.96998017020198	No	1_1	47个恋童癖	4位士兵	1	1	1	116	1	0.954682926829268	0.0190007253027945	0.0906341463414635	-1	1	FALSE	-0.909365853658537	1	0.05	0.0695371383551944	7.90044303184678
0.05	an orphan	a pedophile	cMorals	dtty169	Female	23	cMorals1	10	1	1	10	key	500	k	7.74569520442815	Yes	1_1	1个孤儿	1位恋童癖的人	1	1	1	10	1	0.0280813008130081	0.0154203479030839	0.0561626016260163	1	1	TRUE	0.943837398373984	1	0.05	-0.369920132068047	8.1156153364962
0.05	an astronaut	a rapist	cMorals	dtty169	Female	23	cMorals1	40	1	1	40	key	500	k	7.39092189478356	Yes	1_1	1位宇航员	1位强奸犯	1	1	1	40	1	0.0485230769230769	0.0188094070558801	0.0970461538461539	1	1	TRUE	0.902953846153846	1	0.05	-0.509816354821944	7.90073824960551
0.05	9 rapists	an orphan	cMorals	dtty169	Female	23	cMorals1	71	1	1	71	key	500	d	7.47164762368482	No	1_1	9个强奸犯	1个孤儿	1	1	1	71	1	0.0367542372881356	0.0179250909145159	0.0735084745762712	-1	1	FALSE	-0.926491525423729	1	0.05	-0.428795733290509	7.90044335697533
0.15	6 police officers	a rapist	cMorals	dtty169	Female	23	cMorals1	51	1	1	51	key	500	k	8.35854909797664	Yes	1_1	6位警察	1位强奸犯	1	1	1	51	1	0.935671875	0.0220517568722546	0.12865625	1	1	TRUE	0.87134375	1	0.15	0.458079732777793	7.90046936519885
0.15	a terrorist	53 adults	cMorals	dtty169	Female	23	cMorals1	21	1	1	21	key	500	k	7.76561148900396	Yes	1_1	1位恐怖分子	53位成年人	1	1	1	21	1	0.943404958677686	0.0213658016064366	0.113190082644628	-1	0	FALSE	-0.886809917355372	0	0.15	-0.154024870883165	7.91963635988712
0.15	a rapist	50 elderly people	cMorals	dtty169	Female	23	cMorals1	118	1	1	118	key	500	d	7.73503991848174	No	1_1	1位强奸犯	50位老人	1	1	1	118	1	0.938395348837209	0.0209438521442713	0.123209302325581	-1	1	FALSE	-0.876790697674419	1	0.15	-0.165403113359171	7.90044303184091
0.15	a pedophile	6 police officers	cMorals	dtty169	Female	23	cMorals1	26	1	1	26	key	500	d	7.49108759353488	No	1_1	1位恋童癖的人	6位警察	1	1	1	26	1	0.942136	0.0209862318181689	0.115728	-1	1	FALSE	-0.884272	1	0.15	-0.415753419722478	7.90684101325735
0.15	9 adults	a terrorist	cMorals	dtty169	Female	23	cMorals1	74	1	1	74	key	500	k	7.44014668066269	Yes	1_1	9位成年人	1位恐怖分子	1	1	1	74	1	0.94572131147541	0.0207387052138675	0.10855737704918	1	1	TRUE	0.89144262295082	1	0.15	-0.460296519362458	7.90044320002515
0.15	5 celebrities	47 pedophiles	cMorals	dtty169	Female	23	cMorals1	89	1	1	89	key	500	k	7.52833176670725	Yes	1_1	5个明星	47个恋童癖	1	1	1	89	1	0.099424	0.0257609753668578	0.198848	1	1	TRUE	0.801152	1	0.15	-0.372111271353054	7.9004430380603
0.15	48 homeless adults	53 rapists	cMorals	dtty169	Female	23	cMorals1	62	1	1	62	key	500	k	7.94204235708098	Yes	1_1	48个流浪的人	53个强奸犯	1	1	1	62	1	0.904421052631579	0.0265375688797027	0.191157894736842	1	1	TRUE	0.808842105263158	1	0.15	0.0415969763193198	7.90044538076166
0.15	an olympian	9 rapists	cMorals	dtty169	Female	23	cMorals1	16	1	1	16	key	500	k	8.10693662256476	Yes	1_1	1位奥运选手	9个强奸犯	1	1	1	16	1	0.0553660714285714	0.0209852260711954	0.110732142857143	1	1	TRUE	0.889267857142857	1	0.15	0.148915455177803	7.95802116738695
0.15	6 thieves	4 soldiers	cMorals	dtty169	Female	23	cMorals1	97	1	1	97	key	500	d	7.50279336644491	No	1_1	6个小偷	4位士兵	1	1	1	97	1	0.918112903225806	0.0237142454055405	0.163774193548387	-1	1	FALSE	-0.836225806451613	1	0.15	-0.397649666459632	7.90044303290454
0.15	8 billionaires	a pedophile	cMorals	dtty169	Female	23	cMorals1	54	1	1	54	key	500	k	7.69503012225593	Yes	1_1	8位亿万富翁	1位恋童癖的人	1	1	1	54	1	0.914484615384615	0.0253217720328662	0.171030769230769	1	1	TRUE	0.828969230769231	1	0.15	-0.205426531610562	7.90045665386649
0.15	3 pedophiles	an olympian	cMorals	dtty169	Female	23	cMorals1	9	1	1	9	key	500	d	7.81375322138531	No	1_1	3个恋童癖	1位奥运选手	1	1	1	9	1	0.086078947368421	0.025957780830433	0.172157894736842	-1	1	FALSE	-0.827842105263158	1	0.15	-0.35473488655718	8.16848810794249
