Exp_Name	sn	Gender	Birth	cond	sess	Trial	BlockNum	BlockIt	TrialinBlock	StimNum	FrameNum	FrameName	respType	posttgap	stim_dur	Resp_Boo	keybResp	keybRT	keyDef	FeedBack	ShowFeedBack	Set	IA.1	IB.1	nIA	nIB	IA.1.org	IB.1.org	ones	trial	trial_type
cMorals	dtty169	Female	23	cMorals1	NA	1	1	1	1	2461	6	test	key	500	NA	True	d	10310.4000000358	No	NA	NA	1_1	4位修女	5位导师	1	1	4 nuns	5 mentors	1	1	1
cMorals	dtty169	Female	23	cMorals1	NA	2	1	1	2	223	6	test	key	500	NA	True	k	13710.3999999762	Yes	NA	NA	1_1	1个流氓	52个恐怖分子	1	1	a hooligan	52 terrorists	1	2	1
cMorals	dtty169	Female	23	cMorals1	NA	3	1	1	3	1372	6	test	key	500	NA	True	d	3871.39999997616	No	NA	NA	1_1	1位警察	6位警察	1	1	a police officer	6 police officers	1	3	1
cMorals	dtty169	Female	23	cMorals1	NA	4	1	1	4	2636	6	test	key	500	NA	True	d	13799.7999999523	No	NA	NA	1_1	50个瘾君子	51个罪犯	1	1	50 addicts	51 convicts	1	4	1
cMorals	dtty169	Female	23	cMorals1	NA	5	1	1	5	2975	6	test	key	500	NA	True	d	5464.10000002384	No	NA	NA	1_1	52个恐怖分子	47名奥运选手	1	1	52 terrorists	47 Olympians	1	5	1
cMorals	dtty169	Female	23	cMorals1	NA	6	1	1	6	2245	6	test	key	500	NA	True	k	3315.89999997616	Yes	NA	NA	1_1	49位宇航员	6位瘾君子	1	1	49 astronauts	6 addicts	1	6	1
cMorals	dtty169	Female	23	cMorals1	NA	7	1	1	7	2118	6	test	key	500	NA	True	d	3878	No	NA	NA	1_1	49个明星	48个流浪的人	1	1	49 celebrities	48 homeless adults	1	7	1
cMorals	dtty169	Female	23	cMorals1	NA	8	1	1	8	3700	6	test	key	500	NA	True	d	6430.40000003576	No	NA	NA	1_1	6个老人	5位宇航员	1	1	6 elderly people	5 astronauts	1	8	1
cMorals	dtty169	Female	23	cMorals1	NA	9	1	1	9	1516	6	test	key	500	NA	True	d	2474.40000003576	No	NA	NA	1_1	3个恋童癖	1位奥运选手	1	1	3 pedophiles	an Olympian	1	9	1
cMorals	dtty169	Female	23	cMorals1	NA	10	1	1	10	3	6	test	key	500	NA	True	k	2311.59999996424	Yes	NA	NA	1_1	1个孤儿	1位恋童癖的人	1	1	an orphan	a pedophile	1	10	1
cMorals	dtty169	Female	23	cMorals1	NA	11	1	1	11	554	6	test	key	500	NA	True	d	2860.5	No	NA	NA	1_1	1位士兵	47位大学生	1	1	a soldier	47 university students	1	11	1
cMorals	dtty169	Female	23	cMorals1	NA	12	1	1	12	3115	6	test	key	500	NA	True	d	2269.69999998808	No	NA	NA	1_1	53个强奸犯	1个明星	1	1	53 rapists	a celebrity	1	12	1
cMorals	dtty169	Female	23	cMorals1	NA	13	1	1	13	847	6	test	key	500	NA	True	d	4107.19999998808	No	NA	NA	1_1	1位强奸犯	50个小偷	1	1	a rapist	50 thieves	1	13	1
